time,latitude,longitude,depth,mag
2024-08-20T01:22:26.354Z,34.1873,74.2881,13.738,4.5
2024-08-20T01:15:55.090Z,34.1613,74.2677,14.076,5.1
2024-07-20T12:04:59.754Z,33.456,76.6373,43.578,4.1
2024-07-12T06:56:22.699Z,34.1455,74.3501,13.68,4.4
2024-04-18T15:22:37.399Z,33.1489,76.8257,45.414,4.3
2024-04-06T09:23:21.002Z,33.1643,76.8223,10,4.4
2024-04-05T11:50:44.688Z,33.2454,76.9224,28.17,4.2
2024-04-04T16:04:32.601Z,33.1698,76.816,32.436,5
2024-02-22T17:05:55.410Z,33.1787,76.8103,10,4.3
2024-02-20T01:05:59.441Z,33.1565,76.8759,10,4.3
2024-01-16T03:23:53.611Z,33.1245,76.7306,10,4.1
2024-01-03T19:08:16.618Z,33.2551,76.7872,17.945,4.5
2023-12-25T23:03:56.507Z,34.7111,76.7782,34.705,4.6
2023-12-18T10:31:29.554Z,33.1609,76.6962,10,4.8
2023-12-18T10:27:11.437Z,33.1492,76.6507,10,4.3
2023-12-18T10:18:52.984Z,33.1836,76.8401,10,5.1
2023-11-16T04:04:18.591Z,33.0154,76.2091,16.68,4.2
2023-08-09T17:44:20.929Z,32.5435,78.602,14.338,4.7
2023-07-17T16:37:23.404Z,33.1046,76.0979,10,4.2
2023-07-10T00:13:43.298Z,33.2711,75.8514,25.38,4.2
2023-07-10T00:08:53.217Z,33.2332,75.9099,27.461,4.9
2023-06-17T22:20:24.254Z,33.0208,75.9599,10,4.3
2023-06-17T16:25:33.967Z,33.2377,75.9002,10,4.3
2023-06-13T20:50:56.444Z,33.0446,75.948,14.274,4.6
2023-06-13T08:03:40.348Z,33.1191,75.9074,10,5.2
2023-05-08T08:58:12.854Z,33.9253,75.0264,10,3.8
2022-10-18T12:09:45.297Z,32.3641,78.6637,10,4.5
2022-08-24T17:34:21.884Z,33.1509,75.7219,10,4.2
2022-08-22T20:50:28.977Z,33.2367,75.8439,10,4
2022-05-13T02:16:42.668Z,32.7165,76.2415,10,4.6
2022-02-25T07:29:03.263Z,32.3654,76.3939,10,3.6
2022-01-21T21:23:38.467Z,33.2225,75.9072,10,4.1
2022-01-04T17:15:52.331Z,33.0339,76.074,40.06,4.3
2021-10-30T16:29:09.837Z,33.2438,76.7582,10,4.2
2021-10-26T00:32:08.893Z,33.2123,76.8049,10,4.6
2021-09-13T03:46:47.551Z,33.7409,76.4233,10,4.3
2021-07-21T04:01:45.956Z,34.0777,78.4395,10,4.3
2021-06-29T19:24:35.052Z,34.6873,77.9908,10,3.7
2021-06-28T00:40:35.259Z,34.2781,78.2208,10,4.8
2021-04-15T22:26:24.010Z,32.4789,78.7499,10,4.6
2021-02-03T14:29:49.946Z,34.26,78.2819,10,4.5
2021-01-11T14:02:03.048Z,33.3042,75.5872,10,5.1
2021-01-11T13:59:12.570Z,33.4274,75.7158,10,4.1
2021-01-09T14:51:50.407Z,32.521,76.6552,22.64,4.5
2020-12-09T21:57:34.387Z,33.866,74.9266,10,4.2
2020-11-08T13:26:25.069Z,33.4944,75.735,10,4.4
2020-11-06T22:59:17.399Z,33.5339,75.7388,10,4.6
2020-10-31T16:59:40.590Z,34.1948,78.1585,10,4.5
2020-10-06T06:13:39.363Z,34.0992,79.1272,10,4.7
2020-09-28T05:12:34.992Z,33.229,75.8586,10,4.6
2020-09-27T17:27:42.182Z,34.1448,78.1519,10,5
2020-09-26T06:32:00.651Z,34.7214,74.4055,10,4.6
2020-09-25T18:14:35.455Z,34.0161,78.1669,10,3.8
2020-09-25T10:57:13.221Z,34.2487,78.2058,10,5.3
2020-09-22T16:10:29.177Z,34.0837,74.7947,10,4.4
2020-07-02T07:40:37.191Z,32.998,75.9509,10,4.6
2020-06-30T18:02:28.856Z,33.1193,75.8744,43.89,4.7
2020-06-30T03:26:58.130Z,33.195,75.926,46.75,4.2
2020-03-29T18:17:45.513Z,32.9731,76.4202,10,4.3
2020-03-27T11:46:58.989Z,32.697,76.144,10,4.5
2020-03-11T14:19:31.898Z,32.568,78.4627,10,4
2020-02-28T11:07:11.020Z,32.9646,76.3114,10,4.2
2020-02-26T15:04:08.953Z,32.9752,76.2474,10,5
2020-01-12T05:23:56.526Z,35.0149,74.474,10,5.1
2019-09-09T06:40:33.517Z,32.9804,76.181,43.93,4.9
2019-09-08T02:34:32.435Z,33.0736,76.1758,10,4.8
2019-07-29T03:33:52.069Z,32.8856,76.7183,10,4.4
2019-07-24T19:17:11.840Z,32.7286,76.3907,10,4.2
2019-02-17T22:53:30.280Z,33.4367,76.7294,23.88,4.5
2019-01-10T02:52:04.640Z,34.3645,78.2373,34.51,4.6
2019-01-06T23:10:42.200Z,34.2031,78.0505,10,4.3
